stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code,stop_access
IDFM:463254,,Place des Fêtes,,2.3933562528860817,48.876832680966,1,,0,IDFM:71885,Europe/Paris,,2,,
IDFM:463255,,Poissonnière,,2.3487003120160503,48.877047721155854,1,,0,IDFM:71363,Europe/Paris,,2,,
IDFM:463256,,Porte Dauphine,,2.277616092194223,48.87161253805781,1,,0,IDFM:474152,Europe/Paris,,2,,
IDFM:463257,,Porte Maillot,,2.2824120580347764,48.877765914127366,1,,0,IDFM:71379,Europe/Paris,,2,,
IDFM:463258,,Porte de Champerret,,2.2921124821588448,48.885652393133846,1,,0,IDFM:71450,Europe/Paris,,2,,
IDFM:463259,,Porte de Saint-Cloud,,2.257046962033948,48.83790444784959,1,,0,IDFM:71084,Europe/Paris,,2,,
IDFM:463260,,Porte de Vanves,,2.3048327737714245,48.82734524401033,1,,0,IDFM:71006,Europe/Paris,,2,,
IDFM:463261,,Porte de Versailles,,2.28806213329644,48.83249895584159,1,,0,IDFM:71045,Europe/Paris,,2,,
IDFM:463262,,Porte des Lilas,,2.4069512666209,48.87663999703494,1,,0,IDFM:71889,Europe/Paris,,2,,
IDFM:463263,,Porte des Lilas,,2.4065226763982275,48.87723143067265,1,,0,IDFM:71889,Europe/Paris,,2,,
IDFM:463264,,Strasbourg - Saint-Denis,,2.353634821486943,48.869457077556724,1,,0,IDFM:73633,Europe/Paris,,2,,
IDFM:463265,,Sully - Morland,,2.361858771772954,48.851370367272,1,,0,IDFM:71201,Europe/Paris,,2,,
IDFM:463266,,Ternes,,2.2981132886172433,48.878227730862385,1,,0,IDFM:71367,Europe/Paris,,2,,
IDFM:463267,,Tolbiac,,2.357018567738162,48.82615323734341,1,,0,IDFM:71001,Europe/Paris,,2,,
IDFM:463268,,Trocadéro,,2.287447817634774,48.86348739722466,1,,0,IDFM:71285,Europe/Paris,,2,,
IDFM:463269,,Villejuif - Louis Aragon,,2.3677168990538426,48.787572501132765,3,,0,IDFM:70143,Europe/Paris,,2,,
IDFM:463276,,Porte de Bagnolet,,2.4087542211895427,48.86453937293447,1,,0,IDFM:71799,Europe/Paris,,2,,
IDFM:463277,,Porte de Charenton,,2.402372975541869,48.8336104146937,1,,0,IDFM:71579,Europe/Paris,,2,,
IDFM:463278,,Porte de Clichy,,2.313485118020816,48.89438790877958,1,,0,IDFM:71545,Europe/Paris,,2,,
IDFM:463279,,Porte de Montreuil,,2.410718154027495,48.85348263120656,1,,0,IDFM:71710,Europe/Paris,,2,,
IDFM:463280,,Porte de Pantin,,2.3920072171338957,48.88844513381314,1,,0,IDFM:71989,Europe/Paris,,2,,
IDFM:463281,,Porte de la Chapelle,,2.359103857300198,48.89741064164834,1,,0,IDFM:72064,Europe/Paris,,2,,
IDFM:463282,,Pré-Saint-Gervais,,2.398580770693528,48.8801595806643,1,,0,IDFM:71911,Europe/Paris,,2,,
IDFM:463283,,Pyramides,,2.3343922277134226,48.86572726045214,1,,0,IDFM:73788,Europe/Paris,,2,,
IDFM:463284,,Pyramides,,2.334446061385693,48.86578152055564,1,,0,IDFM:73788,Europe/Paris,,1,,
IDFM:463285,,Père Lachaise,,2.3878014305354482,48.862226142597684,1,,0,IDFM:71787,Europe/Paris,,2,,
IDFM:463286,,Père Lachaise,,2.3866197287803366,48.86302950062551,1,,0,IDFM:71787,Europe/Paris,,2,,
IDFM:463287,,Pyrénées,,2.3852649372318315,48.87387756542708,1,,0,IDFM:71864,Europe/Paris,,2,,
IDFM:463288,,Quai de la Gare,,2.372766248948172,48.8370742706096,1,,0,IDFM:71597,Europe/Paris,,2,,
IDFM:463289,,Quai de la Rapée,,2.365884650750405,48.846427325479766,1,,0,IDFM:71637,Europe/Paris,,2,,
IDFM:463290,,Ranelagh,,2.269948157934635,48.85550355839564,1,,0,IDFM:71243,Europe/Paris,,2,,
IDFM:463291,,Raspail,,2.3307802165662403,48.83910415024143,1,,0,IDFM:71088,Europe/Paris,,2,,
IDFM:463292,,Raspail,,2.3306746998287577,48.83889670536719,1,,0,IDFM:71088,Europe/Paris,,2,,
IDFM:463293,,Reuilly - Diderot,,2.387204771582883,48.84689817115965,1,,0,IDFM:71654,Europe/Paris,,2,,
IDFM:463294,,Reuilly - Diderot,,2.3851026686267773,48.84720216018846,1,,0,IDFM:71654,Europe/Paris,,2,,
IDFM:463295,,Riquet,,2.373397585816476,48.88797147826378,1,,0,IDFM:71977,Europe/Paris,,2,,
IDFM:463296,,Rome,,2.3213591738229726,48.88234581879614,1,,0,IDFM:71408,Europe/Paris,,2,,
IDFM:463297,,Rue Saint-Maur,,2.3804600339610773,48.86405000324374,1,,0,IDFM:71795,Europe/Paris,,2,,
IDFM:463298,,Rue des Boulets,,2.389429968854563,48.85236862327955,1,,0,IDFM:71694,Europe/Paris,,2,,
IDFM:463299,,Saint-Ambroise,,2.3739964519221886,48.861480218467655,1,,0,IDFM:71781,Europe/Paris,,2,,
IDFM:463300,,Saint-Augustin,,2.321031570403537,48.874632152132925,1,,0,IDFM:73690,Europe/Paris,,2,,
IDFM:463301,,Saint-Denis - Porte de Paris,,2.356103685447694,48.93000331459435,3,,0,IDFM:72285,Europe/Paris,,2,,
IDFM:463302,,Saint-Denis - Université,,2.364591281361484,48.94579506706538,3,,0,IDFM:72358,Europe/Paris,,2,,
IDFM:463303,,Saint-François-Xavier,,2.3144121566045697,48.85195330293081,1,,0,IDFM:71204,Europe/Paris,,2,,
IDFM:463304,,Saint-Georges,,2.3374546190400913,48.87836199275949,1,,0,IDFM:71366,Europe/Paris,,2,,
IDFM:463305,,Saint-Jacques,,2.3370965389054956,48.832857226540206,1,,0,IDFM:71041,Europe/Paris,,2,,
IDFM:463306,,Saint-Michel,,2.3438304195531945,48.85342231534621,1,,0,IDFM:73620,Europe/Paris,,2,,
IDFM:463307,,Saint-Paul (Le Marais),,2.360870414838236,48.85528627099442,1,,0,IDFM:71222,Europe/Paris,,2,,
IDFM:463308,,Saint-Placide,,2.3270814861545093,48.847051769671374,1,,0,IDFM:71184,Europe/Paris,,2,,
IDFM:463309,,Saint-Sébastien - Froissart,,2.3671254626151184,48.86094943927989,1,,0,IDFM:71777,Europe/Paris,,2,,
IDFM:463310,,Simplon,,2.347875783249625,48.8938966403779,1,,0,IDFM:71556,Europe/Paris,,2,,
IDFM:463311,,Solférino,,2.3230759642515415,48.85853194972854,1,,0,IDFM:71270,Europe/Paris,,2,,
IDFM:463312,,Strasbourg - Saint-Denis,,2.3535254325802613,48.86948346700233,1,,0,IDFM:73633,Europe/Paris,,2,,
IDFM:463313,,Strasbourg - Saint-Denis,,2.3544641300617033,48.86964142120654,1,,0,IDFM:73633,Europe/Paris,,2,,
IDFM:463314,,Sèvres-Lecourbe,,2.309529610430393,48.84564768265073,1,,0,IDFM:71144,Europe/Paris,,2,,
IDFM:463315,,Ségur,,2.3069509897768166,48.847323576235624,1,,0,IDFM:71157,Europe/Paris,,2,,
IDFM:463316,,Temple,,2.3615893783321895,48.86668483219092,1,,0,IDFM:71296,Europe/Paris,,2,,
IDFM:463317,,Trinité - d'Estienne d'Orves,,2.3333022683310225,48.87633342046079,1,,0,IDFM:71355,Europe/Paris,,2,,
IDFM:463318,,Trocadéro,,2.2868262498013006,48.86308797989344,1,,0,IDFM:71285,Europe/Paris,,2,,
IDFM:463319,,Télégraphe,,2.3985262201082405,48.87543782537263,1,,0,IDFM:71870,Europe/Paris,,2,,
IDFM:463320,,Varenne,,2.314939717979739,48.85639914680456,1,,0,IDFM:71232,Europe/Paris,,2,,
IDFM:463321,,Vaugirard,,2.300977822126098,48.83953628376544,1,,0,IDFM:71091,Europe/Paris,,2,,
IDFM:463322,,Victor Hugo,,2.2860089592493376,48.87000809864386,1,,0,IDFM:71315,Europe/Paris,,2,,
IDFM:463323,,Villejuif Léo Lagrange,,2.364068547658874,48.80436739901952,2,,0,IDFM:70375,Europe/Paris,,2,,
IDFM:463324,,Villejuif Paul Vaillant-Couturier,,2.368262666952309,48.79638952164656,3,,0,IDFM:70248,Europe/Paris,,2,,
IDFM:463325,,Voltaire,,2.3799882396647196,48.85787805268841,1,,0,IDFM:71750,Europe/Paris,,2,,
IDFM:463564,,Bastille,,2.368726105936876,48.85258944629183,,,1,,,,0,,
IDFM:473829,,Bir-Hakeim,,2.289762954220385,48.85414786198107,,,1,,,,0,,
IDFM:474149,,Château Landon,,2.3625820870882213,48.8796945331669,,,1,,,,0,,
IDFM:474150,,La Muette,,2.273869241020442,48.858243480448024,,,1,,,,0,,
IDFM:474151,,Châtelet - Les Halles,,2.34697651043533,48.86174503191322,,,1,,,,0,,
IDFM:474152,,Porte Dauphine,,2.276084338825033,48.87097823798126,,,1,,,,0,,
IDFM:474397,,Miromesnil,,2.314539776464459,48.873331580854774,1,,0,IDFM:71346,Europe/Paris,,2,,
IDFM:478395,,La Fourche,,2.325815743000763,48.88695758474682,1,,0,IDFM:71474,Europe/Paris,,2,,
IDFM:478505,,Juvisy,,2.3843358228032505,48.6894852144603,,,1,,,,0,,
IDFM:478733,,Magenta,,2.358695908637114,48.88081039411524,,,1,,,,0,,
IDFM:478855,,Étampes,,2.159956601313322,48.4369213474364,,,1,,,,0,,
IDFM:478860,,Villejuif - Gustave Roussy,,2.348840582572321,48.79330376910499,,,1,,,,0,,
IDFM:478883,,Porte de Clignancourt,,2.3451622535485326,48.89818274359901,,,1,,,,0,,
IDFM:478885,,Le Peletier,,2.3396428499181225,48.87467781169745,,,1,,,,0,,
IDFM:478926,,Auber,,2.329726949991952,48.872864491125775,,,1,,,,0,,
IDFM:479068,,Étienne Marcel,,2.3499446739974927,48.86364981981673,,,1,,,,0,,
IDFM:479928,,Buzenval,,2.4014802697487627,48.85210574161963,,,1,,,,0,,
IDFM:480286,,Pont Cardinet,,2.3154088539592554,48.88915585090584,1,,0,IDFM:71475,Europe/Paris,,1,,
IDFM:480288,,Saint-Ouen,,2.3219576914000415,48.90466143759184,2,,0,IDFM:72126,Europe/Paris,,1,,
IDFM:480290,,Mairie de Saint-Ouen,,2.334239472763733,48.912878083666286,2,,0,IDFM:72168,Europe/Paris,,1,,
IDFM:480330,,Mairie de Saint-Ouen,,2.3343216764525945,48.91285156127143,2,,0,IDFM:72168,Europe/Paris,,1,,
IDFM:480340,,Pont Cardinet,,2.3154909115688027,48.88913833346373,1,,0,IDFM:71475,Europe/Paris,,1,,
IDFM:480341,,Saint-Ouen,,2.322026130318693,48.9046438386993,2,,0,IDFM:72126,Europe/Paris,,1,,
IDFM:480531,,Porte de Clichy,,2.31271259270207,48.89504897724587,1,,0,IDFM:71545,Europe/Paris,,1,,
IDFM:480541,,Porte de Clichy,,2.3126172426195786,48.8950394367423,1,,0,IDFM:71545,Europe/Paris,,1,,
IDFM:482368,,Havre - Caumartin,,2.3271556623910983,48.87348410016149,,,1,,,,0,,
IDFM:483277,,Barbara,,2.3174992240284045,48.80979025430712,3,,0,IDFM:70441,Europe/Paris,,2,,
IDFM:483313,,Barbara,,2.3174174096489284,48.8097987811254,3,,0,IDFM:70441,Europe/Paris,,2,,
IDFM:483314,,Bagneux - Lucie Aubrac,,2.317458362049886,48.80354822259104,3,,0,IDFM:483315,Europe/Paris,,2,,
IDFM:483315,,Bagneux - Lucie Aubrac,,2.317648964813929,48.80354931078338,,,1,,,,0,,
IDFM:483423,,Bagneux - Lucie Aubrac,,2.3179078752210414,48.803532800531336,3,,0,IDFM:483315,Europe/Paris,,2,,
IDFM:483898,,Mairie d'Aubervilliers,,2.3807294097517055,48.91363103413124,2,,0,IDFM:72524,Europe/Paris,,2,,
IDFM:483900,,Aimé Césaire,,2.37813084516706,48.90843758066954,2,,0,IDFM:72491,Europe/Paris,,2,,
IDFM:483903,,Aimé Césaire,,2.37776552117174,48.90818387770811,2,,0,IDFM:72491,Europe/Paris,,2,,
IDFM:483904,,Mairie d'Aubervilliers,,2.3806611929109462,48.913630681483276,2,,0,IDFM:72524,Europe/Paris,,2,,
IDFM:488087,,Nanterre-La-Folie,,2.2269811194941327,48.89828996121289,,,1,,,,0,,
IDFM:490762,,Serge Gainsbourg,,2.427229354265452,48.881343288296286,2,,0,IDFM:490779,Europe/Paris,,1,,
IDFM:490764,,Romainville - Carnot,,2.440689824547642,48.88369120755144,3,,0,IDFM:71947,Europe/Paris,,1,,
IDFM:490766,,Montreuil - Hôpital,,2.45460012310207,48.878359446871926,3,,0,IDFM:71897,Europe/Paris,,1,,
IDFM:490768,,La Dhuys,,2.465430413390637,48.87794964257804,3,,0,IDFM:490782,Europe/Paris,,1,,
IDFM:490770,,Coteaux Beauclair,,2.467417206083316,48.88232920383497,3,,0,IDFM:490783,Europe/Paris,,1,,
IDFM:490772,,Rosny-Bois-Perrier,,2.4806093523524932,48.88307064342213,3,,0,IDFM:426280,Europe/Paris,,1,,
IDFM:490774,,Saint-Denis - Pleyel,,2.3458061046356975,48.9175012758304,2,,0,IDFM:490784,Europe/Paris,,1,,
IDFM:490779,,Serge Gainsbourg,,2.4275905327202585,48.88135850555815,,,1,,,,0,,
IDFM:490782,,La Dhuys,,2.4654442321112975,48.87793171869931,,,1,,,,0,,
IDFM:490783,,Coteaux Beauclair,,2.468381063623135,48.882081677851524,,,1,,,,0,,
IDFM:490784,,Saint-Denis - Pleyel,,2.3450114763655767,48.917213654096166,,,1,,,,0,,
IDFM:490787,,Serge Gainsbourg,,2.4272978257984374,48.88131663612325,2,,0,IDFM:490779,Europe/Paris,,1,,
IDFM:490788,,Romainville - Carnot,,2.4406774445901713,48.883574237927014,3,,0,IDFM:71947,Europe/Paris,,1,,
IDFM:490789,,Montreuil - Hôpital,,2.4545185061446464,48.8783410885183,3,,0,IDFM:71897,Europe/Paris,,1,,
IDFM:490791,,La Dhuys,,2.4654984917390075,48.87795893979636,3,,0,IDFM:490782,Europe/Paris,,1,,
IDFM:490792,,Coteaux Beauclair,,2.4674719311080398,48.88231146085265,3,,0,IDFM:490783,Europe/Paris,,1,,
IDFM:490793,,Rosny-Bois-Perrier,,2.4805165951697963,48.88280044531123,3,,0,IDFM:426280,Europe/Paris,,1,,
IDFM:490794,,Saint-Denis - Pleyel,,2.3458750045007535,48.91744769391101,2,,0,IDFM:490784,Europe/Paris,,1,,
IDFM:490833,,Thiais - Orly (Pont de Rungis),,2.372761331581903,48.7471881284398,4,,0,IDFM:69677,Europe/Paris,,1,,
IDFM:490835,,Chevilly-Larue (Marché International),,2.366609682947847,48.75874034116128,3,,0,IDFM:73753,Europe/Paris,,1,,
IDFM:490837,,L'Haÿ-les-Roses,,2.3540770810846245,48.77551939649038,3,,0,IDFM:69974,Europe/Paris,,1,,
